id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
13717623,34636394,34589166,421725763,421725758,4,f,f,2016-04-05 02:13:33,2016-04-08 18:37:25
13823240,,34589166,,424376939,9,f,f,2016-04-05 22:19:21,2016-04-12 07:11:32
13976782,,34589166,,427822657,28,f,f,2016-04-07 00:04:01,2016-05-05 22:46:15
13815866,,34589166,,424319672,31,f,f,2016-04-07 16:27:28,2016-04-12 20:32:03
13710043,34622049,34589166,421651220,421592192,34,f,f,2016-04-07 18:17:21,2016-04-08 17:55:26
13701822,34622049,34589166,421592207,421592192,36,f,f,2016-04-07 20:51:58,2016-04-08 20:10:50
13694833,34589170,34589166,420925916,420925909,41,f,t,2016-04-07 22:57:36,2016-04-07 22:57:54
13701890,34622148,34589166,421593445,421468243,42,f,f,2016-04-08 00:14:24,2016-04-12 19:52:56
13716599,34622049,34589166,421716695,421716686,47,f,t,2016-04-08 17:55:13,2016-04-08 17:55:51
13717613,34636379,34589166,421725705,421725704,49,f,f,2016-04-08 18:36:55,2016-04-11 19:11:32
13720599,34640689,34589166,421761905,421725704,50,f,t,2016-04-08 20:04:51,2016-04-08 20:14:52
13720701,34622049,34589166,421762802,421725704,51,f,t,2016-04-08 20:10:26,2016-04-08 20:24:57
13722121,34640689,34589166,421772091,421772089,52,f,t,2016-04-08 21:05:19,2016-04-08 22:00:06
13724782,34645182,34589166,421796146,421796144,56,f,t,2016-04-08 23:11:47,2016-04-09 00:52:04
13725396,34636379,34589166,421799736,421796144,57,f,f,2016-04-08 23:47:45,2016-05-21 02:04:51
13756119,34640689,34589166,422934565,422383409,60,f,t,2016-04-10 05:24:40,2016-04-10 18:54:37
13756116,34640689,34589166,422934525,422383409,62,f,t,2016-04-10 06:38:56,2016-04-10 18:54:17
13769360,34589166,34589166,423401812,423199227,65,t,t,2016-04-11 14:26:46,2016-04-11 16:07:27
13777815,34589166,34589166,423453011,423453004,67,t,t,2016-04-11 16:57:30,2016-04-11 20:45:33
13778244,34837606,34589166,423456011,423456004,68,f,t,2016-04-11 17:13:35,2016-04-11 17:30:40
13779627,34589166,34589166,423465481,423453006,69,t,t,2016-04-11 18:07:20,2016-04-11 21:02:49
13780008,34589166,34589166,423468091,423453004,71,t,t,2016-04-11 18:22:42,2016-04-11 20:55:39
13783570,34622049,34589166,423494213,423453004,72,f,t,2016-04-11 20:04:04,2016-04-11 20:09:27
13774774,34622049,34589166,423434430,423434425,73,f,t,2016-04-11 20:10:29,2016-04-11 22:46:50
13796230,34837606,34589166,424179850,424041994,74,f,t,2016-04-12 01:35:52,2016-04-12 04:47:02
13820401,34837606,34589166,424352066,424041994,75,f,t,2016-04-12 03:10:47,2016-04-12 04:48:27
13812502,34881513,34589166,424183994,424295362,77,f,t,2016-04-12 06:26:41,2016-04-12 07:26:01
13823205,34881513,34589166,424376172,424295362,78,f,t,2016-04-12 07:07:34,2016-04-12 07:23:47
13823678,34881513,34589166,424382686,424183991,82,f,f,2016-04-12 07:45:19,2016-04-12 09:42:38
13796839,34881513,34589166,424183997,424183991,83,f,t,2016-04-12 10:07:49,2016-04-12 17:49:30
13799807,34881513,34589166,424202905,424183991,84,f,f,2016-04-12 12:10:54,2016-04-13 11:38:27
13806234,34897125,34589166,424250350,424183991,85,f,t,2016-04-12 15:38:49,2016-04-12 16:10:15
13809008,34905098,34589166,424272601,424252412,86,f,f,2016-04-12 17:04:54,2016-04-14 19:03:56
13809339,34622049,34589166,424274762,424252412,88,f,t,2016-04-12 17:16:28,2016-04-12 17:48:38
13806568,34636379,34589166,424252408,424252403,90,f,t,2016-04-12 18:00:58,2016-04-12 21:59:01
13815657,34837606,34589166,424318143,424252408,96,f,t,2016-04-12 20:34:33,2016-04-13 00:09:15
13816119,,34589166,,424252406,97,f,t,2016-04-12 20:52:33,2016-04-12 20:55:30
13817742,34923221,34589166,424333446,424252408,98,f,f,2016-04-12 21:57:10,2016-04-20 15:45:16
13826614,34622049,34589166,424948460,424948459,99,f,f,2016-04-13 00:26:53,2016-04-13 18:49:37
13826668,34622049,34589166,424949021,424943312,100,f,t,2016-04-13 00:29:12,2016-04-13 00:30:50
13826686,34984765,34589166,424949252,424948459,101,f,f,2016-04-13 00:30:54,2016-04-13 17:03:05
13835352,34837606,34589166,425010513,424948459,103,f,f,2016-04-13 02:01:16,2016-04-13 14:29:13
13845430,34837606,34589166,425079923,424948459,105,f,f,2016-04-13 02:13:14,2016-04-13 05:52:32
13840217,35016802,34589166,425041808,424202910,107,f,f,2016-04-13 04:34:28,2016-04-13 17:01:34
13853300,34881513,34589166,425137320,424202910,108,f,t,2016-04-13 05:40:58,2016-04-13 05:43:33
13832200,35001652,34589166,424984084,424966524,109,f,f,2016-04-13 08:04:20,2016-04-14 07:04:05
13829929,34997329,34589166,424966527,424966524,110,f,f,2016-04-13 11:16:31,2016-04-13 11:36:47
13829930,34881513,34589166,424966531,424966524,111,f,f,2016-04-13 11:17:41,2016-04-13 14:27:45
13836222,34636379,34589166,425016577,425016572,116,f,t,2016-04-13 14:55:26,2016-04-13 15:20:28
13836155,34622049,34589166,425015814,424948465,117,f,f,2016-04-13 18:27:22,2016-04-19 21:12:42
13847702,34589170,34589166,425098244,425098236,120,f,t,2016-04-13 21:00:11,2016-04-13 21:33:39
13857552,34589166,34589166,425769392,425560328,121,t,f,2016-04-14 00:23:36,2016-04-15 22:12:44
13907424,34589166,34589166,426501646,425560328,122,t,t,2016-04-14 03:38:41,2016-04-14 07:03:06
13862410,35081862,34589166,425828865,425827094,123,f,f,2016-04-14 07:28:33,2016-04-14 12:22:59
13862187,34881513,34589166,425827097,425827088,125,f,t,2016-04-14 12:24:26,2016-04-14 13:42:10
13865178,34881513,34589166,425862736,425862730,126,f,t,2016-04-14 14:02:54,2016-04-14 17:21:14
13910926,34622049,34589166,426509682,426022159,129,f,t,2016-04-15 00:40:26,2016-04-15 05:48:11
13879250,34622148,34589166,426022170,426022159,130,f,f,2016-04-15 00:56:27,2016-04-18 18:24:18
13887576,34589166,34589166,426214763,426020457,132,t,f,2016-04-15 16:09:59,2016-04-15 21:25:41
13879131,34622049,34589166,426020462,426020457,133,f,f,2016-04-15 16:27:23,2016-04-21 07:13:35
