id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
530127,1481200,21898,18313158,18313155,1,f,t,2011-07-27 04:50:25,2011-07-27 04:57:05
530126,1481168,21898,18313080,18313082,2,f,t,2011-08-02 17:31:22,2011-08-03 04:36:57
530125,1481200,21898,18313054,18313050,3,f,t,2011-08-10 08:26:28,2011-08-10 17:14:14
530124,1481200,21898,18313021,18313020,4,f,t,2011-08-25 01:12:20,2011-08-25 01:14:19
530123,1481200,21898,18312987,18312995,5,f,t,2011-09-10 03:03:31,2011-09-13 00:28:55
530122,1481149,21898,18314984,18312062,6,f,f,2011-09-20 16:54:54,2011-09-20 18:22:20
530121,878426,21898,18312023,18312022,7,f,t,2011-10-12 18:13:32,2011-10-12 20:42:10
530120,21951,21898,18312005,18312006,8,f,t,2011-10-14 15:46:59,2011-10-14 18:37:43
530119,21951,21898,18312001,18312003,9,f,t,2011-10-14 19:19:39,2011-10-14 23:09:36
530118,21951,21898,18312000,18312003,10,f,t,2011-10-14 20:49:13,2011-10-14 23:07:30
530117,21951,21898,18311999,18311997,11,f,t,2011-10-15 15:40:06,2011-10-15 15:52:59
530116,21951,21898,18314960,18311993,12,f,f,2011-10-15 16:03:10,2011-10-15 16:21:10
530115,21951,21898,18311981,18311993,13,f,t,2011-10-16 19:42:53,2011-10-19 02:16:27
530114,609561,21898,18311990,18311989,14,f,t,2011-10-17 17:39:00,2011-10-17 17:39:06
530112,21951,21898,18311985,18311988,15,f,t,2011-10-18 00:24:16,2011-10-18 15:08:46
530110,21951,21898,18313887,18311978,16,f,t,2011-10-19 23:10:27,2011-10-20 01:32:25
530109,21951,21898,18313889,18311978,17,f,t,2011-10-20 00:42:44,2011-10-20 01:31:40
530003,21951,21898,18311976,18311978,18,f,t,2011-10-20 01:24:54,2011-10-20 01:30:53
530002,21951,21898,18311965,18311964,19,f,t,2011-10-20 05:31:01,2011-10-21 19:39:16
530001,21951,21898,18311963,18311964,20,f,t,2011-10-21 19:12:37,2011-10-21 19:40:16
530000,21951,21898,18311948,18311944,21,f,t,2011-10-23 19:26:18,2011-10-23 19:27:42
529999,21951,21898,18311947,18311944,22,f,t,2011-10-23 19:27:25,2011-10-23 19:29:43
529998,21951,21898,18311923,18311937,23,f,t,2011-10-24 00:53:36,2011-10-25 01:03:16
529997,21951,21898,18311926,18311925,24,f,t,2011-10-24 23:25:21,2011-10-25 01:02:24
529996,21951,21898,18311918,18311917,25,f,t,2011-10-25 15:22:49,2011-10-25 15:38:10
529995,21951,21898,18311910,18311909,26,f,t,2011-10-25 18:15:20,2011-10-26 17:54:00
529994,21951,21898,18311903,18311901,27,f,t,2011-10-27 21:21:30,2011-10-28 02:24:15
529993,1481200,21898,18311895,18311893,28,f,t,2011-10-29 04:55:12,2011-10-29 05:08:19
529992,21951,21898,18311888,18311887,29,f,t,2011-10-29 20:00:46,2011-10-29 23:47:17
529991,21951,21898,18311178,18311876,31,f,t,2011-10-31 04:26:03,2011-10-31 19:30:23
529988,21951,21898,18311164,18311172,32,f,t,2011-11-01 00:14:14,2011-11-01 00:33:42
