id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
19952754,53249986,53249986,585974815,585974801,1,t,t,2016-12-27 10:54:17,2016-12-27 11:05:55
20916700,53249986,53249986,609776149,600795997,2,t,t,2017-01-31 12:46:44,2017-01-31 23:30:33
20975116,53249986,53249986,610540046,610402142,3,t,t,2017-02-01 05:18:40,2017-02-01 05:21:30
20946832,53249986,53249986,610540032,610540031,4,t,t,2017-02-01 07:43:16,2017-02-01 10:04:28
20951767,53249986,53249986,610587909,610587908,5,t,t,2017-02-01 13:05:19,2017-02-01 13:43:00
21173508,53249986,53249986,613227453,613227450,6,t,t,2017-02-08 12:18:03,2017-02-10 09:36:56
21243909,53249986,53249986,614114136,614114135,7,t,t,2017-02-10 10:23:22,2017-02-10 10:34:19
21244560,53249986,53249986,614125294,614125285,8,t,t,2017-02-10 10:48:11,2017-02-10 10:57:07
21320649,53249986,53249986,617168887,617168886,9,t,t,2017-02-13 09:11:21,2017-02-13 09:26:13
21324726,53249986,53249986,617229496,617229494,10,t,t,2017-02-13 12:03:27,2017-02-13 12:54:56
21326206,53249986,53249986,617271808,617271807,11,t,t,2017-02-13 13:04:47,2017-02-13 13:05:45
21436820,53249986,53249986,619240012,619239999,12,t,t,2017-02-16 10:52:33,2017-02-28 18:23:11
21533779,57581923,53249986,624305957,619239999,15,f,t,2017-02-19 16:44:03,2017-02-19 16:44:48
21534136,53249986,53249986,624340306,624340303,16,t,t,2017-02-19 17:05:35,2017-02-19 17:05:42
21550821,53249986,53249986,626012919,626012894,19,t,t,2017-02-20 09:11:48,2017-02-20 09:24:09
21659227,53249986,53249986,629477228,627591405,22,t,t,2017-02-22 23:46:52,2017-02-22 23:47:08
21659487,53249986,53249986,629479053,629479051,23,t,t,2017-02-22 23:56:25,2017-02-22 23:56:31
21664466,53249986,53249986,629617055,629617052,25,t,t,2017-02-23 03:56:44,2017-02-23 03:58:15
21664712,53249986,53249986,629636397,629636387,26,t,t,2017-02-23 04:07:33,2017-02-23 04:08:04
21705346,53249986,53249986,631011490,630160721,28,t,t,2017-02-24 04:06:21,2017-02-24 04:08:17
21796620,53249986,53249986,633294707,631012467,30,t,t,2017-02-27 12:37:21,2017-02-27 13:30:37
21868127,53249986,53249986,634766884,634358644,33,t,t,2017-03-01 07:51:46,2017-03-01 07:53:38
21869672,53249986,53249986,634801257,634767842,34,t,t,2017-03-01 08:54:48,2017-03-01 09:09:35
21875265,53249986,53249986,634925027,634809821,35,t,t,2017-03-01 12:29:31,2017-03-01 21:50:43
21895638,53249986,53249986,635303929,635297119,37,t,t,2017-03-01 22:01:30,2017-03-01 22:02:14
21898600,58529340,53249986,635352473,635314206,39,f,f,2017-03-01 23:23:37,2017-05-11 11:08:02
22163715,59238934,53249986,641266330,635314206,41,f,t,2017-03-09 13:28:56,2017-03-09 13:34:10
22320003,59634071,53249986,644669324,641269985,42,f,t,2017-03-14 06:52:02,2017-03-14 06:55:15
23068937,53249986,53249986,661896299,646859402,43,t,t,2017-04-04 06:24:48,2017-04-13 10:12:53
23119691,53249986,53249986,662842794,646859402,45,t,t,2017-04-05 09:28:24,2017-04-05 12:30:24
23638543,53249986,53249986,674276036,673677917,51,t,t,2017-04-20 05:32:15,2017-04-20 09:41:57
23641105,53249986,53249986,674338267,673677917,52,t,t,2017-04-20 07:35:33,2017-04-20 07:44:13
23644995,53249986,53249986,674428821,674417365,53,t,t,2017-04-20 09:59:31,2017-04-20 10:49:50
23667858,53249986,53249986,674887315,674460832,54,t,t,2017-04-20 21:16:09,2017-04-20 21:16:45
23688315,53249986,53249986,675335425,675058410,55,t,t,2017-04-21 12:00:14,2017-04-21 12:03:33
