id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
527679,204590,21496,18237629,18233988,1,f,f,2011-07-14 15:05:56,2011-07-14 15:17:38
527678,204590,21496,18233986,18233953,2,f,t,2011-07-14 15:18:21,2011-07-14 15:20:53
527677,204590,21496,18233981,18233967,3,f,t,2011-07-14 15:28:28,2011-07-14 15:32:02
527676,204590,21496,18233971,18233948,4,f,t,2011-07-14 15:45:38,2011-07-14 15:47:37
527675,204590,21496,18237567,18233945,5,f,f,2011-07-14 16:32:37,2011-07-14 18:37:04
527674,204590,21496,18233918,18233945,6,f,t,2011-07-14 16:39:38,2011-07-14 18:37:18
527673,204590,21496,18233940,18233936,7,f,t,2011-07-14 16:54:08,2011-07-14 17:06:48
527672,204590,21496,18233927,18233935,8,f,t,2011-07-14 18:09:03,2011-07-14 18:14:05
527671,204590,21496,18234143,18233910,9,f,t,2011-07-15 04:23:54,2011-07-15 15:44:10
527670,204590,21496,18233909,18233910,10,f,t,2011-07-15 10:18:31,2011-07-15 11:34:41
527669,204590,21496,18233896,18233893,11,f,t,2011-07-15 13:36:17,2011-07-15 13:39:34
527668,1477766,21496,18233884,18233892,12,f,t,2011-07-15 14:14:34,2011-07-15 14:20:14
527667,1477766,21496,18233880,18233877,13,f,t,2011-07-15 14:30:18,2011-07-15 14:39:04
527666,204590,21496,18233663,18233874,14,f,t,2011-07-15 14:52:50,2011-07-16 12:02:35
527665,1477766,21496,18237516,18233874,15,f,f,2011-07-15 15:17:03,2011-07-15 16:16:35
527664,1477766,21496,18234117,18234126,16,f,t,2011-07-15 17:03:33,2011-07-15 19:33:20
527663,204590,21496,18234125,18234126,17,f,t,2011-07-15 17:22:49,2011-07-15 19:32:03
527662,204590,21496,18234127,18234126,18,f,t,2011-07-15 17:38:33,2011-07-15 19:31:01
527661,204590,21496,18233477,18233695,19,f,t,2011-07-15 20:16:29,2011-07-18 10:29:03
527660,50937,21496,18233474,18233695,20,f,t,2011-07-16 05:43:14,2011-07-18 10:30:11
527659,204590,21496,18233684,18233695,21,f,t,2011-07-16 10:20:45,2011-07-16 12:02:16
527658,204590,21496,18233697,18233695,22,f,t,2011-07-16 10:56:16,2011-07-16 12:01:38
527657,204590,21496,18233598,18233593,23,f,t,2011-07-16 12:27:41,2011-07-16 18:44:29
527656,204590,21496,18233578,18233593,24,f,t,2011-07-16 12:36:42,2011-07-16 18:44:47
527655,204590,21496,18233556,18233593,25,f,t,2011-07-16 13:13:03,2011-07-16 18:46:32
527654,204590,21496,18233550,18233593,26,f,t,2011-07-16 13:35:59,2011-07-16 18:47:38
527653,204590,21496,18237431,18233608,27,f,f,2011-07-16 14:11:53,2011-07-25 12:05:21
527652,204590,21496,18233470,18233593,28,f,t,2011-07-16 16:07:01,2011-07-18 10:34:58
527651,25676,21496,18237410,18233593,29,f,f,2011-07-16 16:38:31,2011-07-25 12:09:55
527650,25676,21496,18237403,18237401,30,f,f,2011-07-16 18:31:59,2011-07-25 15:36:48
527649,1477766,21496,18233461,18233461,31,f,t,2011-07-16 19:46:20,2011-07-18 14:57:24
527648,1477650,21496,18233385,18233515,32,f,t,2011-07-16 23:49:19,2011-07-23 11:47:51
527647,204590,21496,18233468,18233515,33,f,t,2011-07-17 01:12:41,2011-07-18 13:38:52
528023,,21496,,18233467,34,f,f,2011-07-18 13:31:02,2011-07-25 12:06:26
528022,,21496,,18233465,35,f,t,2011-07-18 13:41:55,2011-07-24 00:03:20
527644,1477766,21496,18237344,18233460,36,f,f,2011-07-18 17:42:01,2011-07-31 21:51:32
528021,,21496,,18233456,37,f,f,2011-07-19 14:00:28,2011-07-25 12:40:13
527642,50937,21496,18233448,18233440,38,f,t,2011-07-20 09:00:44,2011-07-20 09:26:21
527641,50937,21496,18233446,18233443,39,f,t,2011-07-20 09:47:02,2011-07-20 10:12:20
527640,50937,21496,18233438,18233442,40,f,t,2011-07-20 10:43:41,2011-07-20 15:24:04
527639,50937,21496,18237288,18233436,41,f,f,2011-07-20 11:45:15,2011-07-20 16:11:38
527638,50937,21496,18233439,18233436,42,f,t,2011-07-20 14:08:04,2011-07-20 15:23:37
527637,50937,21496,18233429,18233424,43,f,t,2011-07-20 19:12:47,2011-07-20 20:53:18
528020,,21496,,18233424,44,f,t,2011-07-20 20:24:10,2011-07-20 20:51:30
527635,50937,21496,18233414,18233424,45,f,t,2011-07-20 20:27:29,2011-07-21 11:12:26
527634,50937,21496,18237209,18233421,46,f,f,2011-07-21 04:47:48,2011-07-21 10:47:07
527633,50937,21496,18233864,18233421,47,f,t,2011-07-21 05:15:01,2011-07-25 11:10:23
527632,50937,21496,18237201,18233421,48,f,f,2011-07-21 06:26:05,2011-07-21 07:23:50
527631,50937,21496,18233420,18233421,49,f,t,2011-07-21 06:34:26,2011-07-21 10:37:50
527630,50937,21496,18233422,18233421,50,f,t,2011-07-21 07:57:11,2011-07-21 10:37:15
528019,,21496,,18233406,51,f,t,2011-07-21 11:58:06,2011-07-25 15:45:57
527628,204590,21496,18233355,18233406,52,f,t,2011-07-21 14:22:52,2011-07-25 14:26:09
527627,204590,21496,18233389,18233396,53,f,t,2011-07-22 10:45:56,2011-07-23 11:46:48
527626,204590,21496,18237152,18233856,54,f,f,2011-07-22 11:57:40,2011-07-25 12:39:48
527625,204590,21496,18233372,18233396,55,f,t,2011-07-22 12:11:58,2011-07-24 21:21:33
527624,1477755,21496,18237150,18233394,56,f,f,2011-07-22 14:37:44,2011-07-22 15:37:23
527623,1477755,21496,18237149,18233394,58,f,f,2011-07-22 15:35:53,2011-07-22 19:01:53
527622,50937,21496,18233376,18233374,59,f,t,2011-07-24 07:26:45,2011-07-24 19:15:07
527621,204590,21496,18233347,18233858,60,f,t,2011-07-25 12:06:35,2011-07-25 15:36:13
527620,204590,21496,18233326,18233325,61,f,t,2011-07-25 12:42:06,2011-07-25 16:24:21
527619,50937,21496,18233349,18233363,62,f,t,2011-07-25 13:19:29,2011-07-25 15:35:56
527618,50937,21496,18233324,18233343,63,f,t,2011-07-25 14:55:25,2011-07-25 16:25:24
527617,50937,21496,18233309,18233317,64,f,t,2011-07-26 05:25:06,2011-07-26 11:38:02
527616,50937,21496,18237138,18233317,65,f,f,2011-07-26 05:51:10,2011-07-26 08:40:54
527615,50937,21496,18233318,18233317,66,f,t,2011-07-26 06:02:44,2011-07-26 08:20:50
527614,50937,21496,18233311,18233317,67,f,t,2011-07-26 07:34:29,2011-07-26 11:37:45
527613,50937,21496,18233314,18233316,68,f,t,2011-07-26 09:44:16,2011-07-26 11:37:04
527612,204590,21496,18233307,18233304,69,f,t,2011-07-26 12:13:47,2011-07-26 13:10:51
527611,50937,21496,18233274,18233273,70,f,t,2011-07-28 05:46:56,2011-07-28 09:16:46
527349,50937,21496,18233256,18233266,71,f,t,2011-07-28 09:58:03,2011-07-28 12:56:21
528018,,21496,,18233266,72,f,t,2011-07-28 09:58:53,2011-07-28 10:17:00
527293,50937,21496,18233263,18233265,73,f,t,2011-07-28 10:35:23,2011-07-28 11:13:44
527292,50937,21496,18233261,18233262,74,f,t,2011-07-28 10:47:18,2011-07-28 11:14:44
528017,,21496,,18233259,75,f,t,2011-07-28 11:14:09,2011-07-28 11:15:19
527291,25676,21496,18234417,18233255,76,f,f,2011-07-28 12:40:56,2011-08-29 10:54:51
527296,25676,21496,18233251,18233250,77,f,t,2011-07-28 13:58:02,2011-07-29 10:40:43
527295,1477650,21496,18233243,18233244,78,f,t,2011-07-29 17:50:20,2011-07-30 09:53:36
527294,1477766,21496,18233241,18233240,79,f,t,2011-07-31 21:51:00,2011-08-01 08:39:59
527299,1477766,21496,18234455,18233238,80,f,f,2011-08-01 13:41:12,2011-08-02 17:18:18
527298,204590,21496,18233852,18233855,81,f,t,2011-08-01 19:15:52,2011-08-02 07:45:58
527367,1477757,21496,18233219,18233845,82,f,t,2011-08-02 13:29:04,2011-08-04 10:37:45
527610,50937,21496,18233220,18233225,83,f,t,2011-08-03 13:14:41,2011-08-04 10:36:27
527609,50937,21496,18233215,18233225,84,f,t,2011-08-03 13:30:23,2011-08-04 16:12:30
527608,50937,21496,18232615,18233210,85,f,t,2011-08-05 07:35:35,2011-08-06 10:15:46
527607,50937,21496,18233209,18233210,86,f,t,2011-08-05 07:43:28,2011-08-05 08:31:21
527606,50937,21496,18232623,18233192,87,f,t,2011-08-05 15:01:52,2011-08-06 10:14:21
527605,50937,21496,18237095,18233186,88,f,f,2011-08-06 07:56:09,2011-08-06 10:13:29
527604,1477755,21496,18233188,18233186,89,f,t,2011-08-06 08:15:35,2011-08-06 10:10:13
527603,50937,21496,18232603,18232610,90,f,t,2011-08-07 09:17:39,2011-08-08 09:28:11
527602,50937,21496,18232607,18232610,91,f,t,2011-08-07 15:48:18,2011-08-08 09:27:57
527601,1477755,21496,18237093,18232587,92,f,f,2011-08-08 15:41:31,2011-08-15 11:38:05
527600,50937,21496,18232579,18232578,93,f,t,2011-08-09 05:33:47,2011-08-09 12:15:07
527599,50937,21496,18232576,18232578,94,f,t,2011-08-09 05:47:01,2011-08-09 12:16:27
527598,50937,21496,18232574,18232578,95,f,t,2011-08-09 06:28:24,2011-08-09 12:17:35
527597,50937,21496,18232571,18232578,96,f,t,2011-08-09 06:36:22,2011-08-09 12:18:21
527596,1477755,21496,18232542,18232534,97,f,t,2011-08-09 16:17:55,2011-08-09 16:33:56
527595,50937,21496,18232500,18232499,98,f,t,2011-08-10 12:07:42,2011-08-10 13:14:28
527594,50937,21496,18232478,18232497,99,f,t,2011-08-10 14:44:37,2011-08-12 09:41:15
527593,50937,21496,18232482,18232483,100,f,t,2011-08-12 09:04:46,2011-08-12 09:39:02
527592,50937,21496,18232464,18232474,101,f,t,2011-08-12 10:16:11,2011-08-12 12:47:31
527591,50937,21496,18232467,18232457,102,f,t,2011-08-12 12:42:24,2011-08-12 12:46:04
527590,50937,21496,18232461,18232460,103,f,t,2011-08-12 12:55:38,2011-08-12 13:00:42
527589,50937,21496,18232439,18232443,104,f,t,2011-08-12 18:02:13,2011-08-15 12:01:34
527588,50937,21496,18232434,18232443,105,f,t,2011-08-12 18:27:11,2011-08-15 12:16:16
527587,50937,21496,18232446,18232443,106,f,t,2011-08-13 04:30:29,2011-08-15 12:00:17
527586,50937,21496,18232018,18232446,107,f,t,2011-08-13 05:05:20,2011-08-18 13:43:54
527585,50937,21496,18232025,18232443,108,f,t,2011-08-13 10:16:02,2011-08-18 13:42:44
527584,50937,21496,18237020,18232443,109,f,f,2011-08-13 12:31:09,2011-08-15 13:18:53
527583,550108,21496,18237016,18232443,110,f,f,2011-08-13 18:12:53,2011-08-14 11:18:53
527582,550108,21496,18236941,18232443,111,f,f,2011-08-14 11:36:07,2011-08-19 02:22:04
527581,50937,21496,18232013,18232429,112,f,t,2011-08-15 12:40:48,2011-08-18 13:46:30
527580,50937,21496,18232334,18232429,113,f,t,2011-08-15 13:17:23,2011-08-18 13:30:14
527579,50937,21496,18232378,18232429,114,f,t,2011-08-15 13:29:23,2011-08-18 13:28:34
527578,50937,21496,18236847,18232429,115,f,f,2011-08-15 13:58:26,2011-08-23 13:45:37
527577,204590,21496,18232352,18232424,116,f,t,2011-08-15 18:08:32,2011-08-18 13:29:56
527576,204590,21496,18232375,18232424,117,f,t,2011-08-15 18:12:27,2011-08-18 13:28:55
527575,50937,21496,18232327,18232424,118,f,t,2011-08-16 05:23:54,2011-08-18 13:30:48
527574,50937,21496,18232324,18232424,119,f,t,2011-08-16 05:25:10,2011-08-18 13:39:26
528016,,21496,,18232417,120,f,f,2011-08-16 15:19:15,2011-08-18 13:15:00
527572,50937,21496,18236770,18232317,121,f,f,2011-08-18 09:58:25,2011-08-29 11:18:21
