id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
542843,75919,7106,18716532,18716528,137,f,t,2011-11-16 14:54:25,2011-11-17 21:06:09
542842,7109,7106,18716451,18716449,153,f,t,2011-12-01 16:19:47,2011-12-01 17:53:49
542841,485408,7106,18716490,18716486,155,f,t,2011-12-06 16:46:56,2011-12-09 17:05:41
542840,7109,7106,18716456,18716441,158,f,t,2011-12-06 20:50:04,2011-12-06 21:46:07
542834,75919,7106,18715512,18715500,160,f,t,2011-12-09 17:11:23,2011-12-14 20:39:08
267533,75919,7106,7458751,3362305,169,f,f,2012-01-26 13:48:55,2012-01-26 15:27:27
267641,75919,7106,3448970,3362298,170,f,t,2012-01-26 15:50:15,2012-01-26 16:39:40
267988,485408,7106,3448953,3375203,171,f,t,2012-01-27 00:45:50,2012-01-27 13:12:06
268252,485408,7106,3375056,3375213,172,f,t,2012-01-27 13:58:40,2012-01-27 14:18:46
268276,7109,7106,3375172,3375042,173,f,t,2012-01-27 14:39:25,2012-01-27 15:55:04
268277,485408,7106,3375048,3375042,174,f,t,2012-01-27 14:39:36,2012-01-27 14:40:00
268309,75919,7106,3591196,3375034,175,f,t,2012-01-27 15:48:28,2012-01-27 22:22:12
268521,7109,7106,3609099,3591197,176,f,t,2012-01-27 22:37:48,2012-01-30 21:37:39
269425,75919,7106,3591194,3591197,178,f,t,2012-01-30 16:40:28,2012-01-30 16:41:43
269609,75919,7106,3642711,3609097,179,f,t,2012-01-30 22:06:03,2012-01-30 22:08:13
269620,7109,7106,3642721,3642720,180,f,t,2012-01-30 22:24:50,2012-02-01 15:41:02
270951,7109,7106,3740412,3717950,181,f,t,2012-02-06 15:31:19,2012-02-07 18:11:08
271300,294769,7106,3717953,3717952,182,f,t,2012-02-06 21:45:04,2012-02-07 03:26:51
271627,75919,7106,3740165,3717950,183,f,f,2012-02-07 17:22:00,2012-02-08 15:40:50
272103,7109,7106,3740422,3740417,184,f,t,2012-02-08 14:11:02,2012-02-08 15:31:50
272170,7109,7106,3740179,3740177,185,f,t,2012-02-08 16:11:07,2012-02-08 16:15:58
274382,485408,7106,7629673,3740173,188,f,t,2012-02-13 19:04:13,2012-02-13 20:49:37
274581,485408,7106,7633920,3740789,189,f,t,2012-02-14 01:28:09,2012-02-17 21:14:18
274808,294769,7106,7638377,7633977,191,f,t,2012-02-14 16:00:03,2012-02-14 16:15:17
274847,7109,7106,3740793,3740790,192,f,t,2012-02-14 17:02:58,2012-02-14 17:55:20
275961,294769,7106,7668187,3740789,199,f,t,2012-02-16 21:55:51,2012-02-17 02:17:54
276000,7109,7106,7669037,7669035,200,f,t,2012-02-16 23:39:01,2012-02-17 03:21:18
276418,7109,7106,7679962,7679960,201,f,t,2012-02-17 19:41:20,2012-02-17 21:38:24
276463,7109,7106,7680962,7679960,202,f,t,2012-02-17 21:13:11,2012-02-17 21:36:51
278033,7109,7106,7728846,7728844,209,f,t,2012-02-21 23:41:21,2012-02-23 13:45:57
278670,75919,7106,7747307,7728844,212,f,t,2012-02-23 03:05:18,2012-02-23 13:45:57
279154,75919,7106,7760254,7760250,213,f,t,2012-02-23 22:05:31,2012-02-23 22:35:13
279171,7109,7106,7760636,7760250,214,f,t,2012-02-23 22:32:54,2012-02-24 15:15:55
279448,75919,7106,7768461,7768460,216,f,t,2012-02-24 14:15:25,2012-02-24 14:23:44
279460,75919,7106,7768799,7768797,217,f,t,2012-02-24 14:44:58,2012-02-24 15:12:58
542833,7109,7106,18715448,18715445,218,f,t,2012-03-02 22:25:28,2012-03-03 02:44:31
542832,485408,7106,18715429,18715427,220,f,t,2012-03-05 16:37:35,2012-03-05 16:39:16
542831,75919,7106,18715413,18715408,221,f,t,2012-03-05 16:50:46,2012-03-05 16:52:14
542830,485408,7106,18715371,18715368,222,f,t,2012-03-05 17:08:53,2012-03-05 17:19:59
542829,75919,7106,18715303,18715368,223,f,t,2012-03-05 17:17:50,2012-03-05 22:06:26
542828,294769,7106,18715376,18715366,224,f,f,2012-03-05 17:44:22,2012-03-05 18:59:27
542827,294769,7106,18715373,18715366,225,f,t,2012-03-05 19:08:22,2012-03-05 19:09:16
542826,75919,7106,18715279,18715293,252,f,t,2012-03-06 19:35:00,2012-03-06 21:03:42
542825,485408,7106,18715308,18715293,253,f,t,2012-03-06 19:41:20,2012-03-06 19:45:50
