id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
7641046,19941145,19941145,260897852,260737654,12,t,f,2015-05-21 07:22:12,2015-05-22 22:46:57
7669543,19941145,19941145,261668285,261022801,14,t,f,2015-05-22 20:14:35,2015-05-22 20:42:36
7673391,19941145,19941145,261785345,261701042,17,t,f,2015-05-23 07:31:23,
7683367,19941145,19941145,262156967,262156964,18,t,f,2015-05-24 12:57:40,2015-05-24 13:01:20
7694429,19941145,19941145,262521656,262157905,20,t,f,2015-05-25 13:36:21,2015-05-25 13:45:24
7695601,19941145,19941145,262553863,262524930,21,t,f,2015-05-25 15:15:25,2015-05-25 15:34:28
7698343,20472450,19941145,262634202,262559721,22,f,f,2015-05-25 19:36:53,2015-05-25 19:37:19
7702434,19941145,19941145,262769018,262635034,23,t,f,2015-05-26 05:33:59,2015-05-26 05:39:11
7703355,19941145,19941145,262782285,262770185,24,t,t,2015-05-26 08:30:20,2015-05-26 08:30:55
7708889,19941145,19941145,262933724,262812618,25,t,f,2015-05-26 17:25:55,2015-05-26 19:49:27
7709048,19941145,19941145,262937350,262812618,26,t,f,2015-05-26 17:35:01,2015-05-26 20:56:51
7710511,19941145,19941145,262972428,262812618,28,t,f,2015-05-26 19:02:47,2015-05-26 22:17:10
7713564,19941145,19941145,263045732,263032275,31,t,f,2015-05-26 23:12:13,2015-05-26 23:18:23
7726618,19941145,19941145,263380306,263047157,33,t,f,2015-05-27 16:29:45,2015-05-27 20:06:03
7752742,19941145,19941145,263862604,263605135,35,t,t,2015-05-29 05:32:41,2015-05-29 05:33:08
7756716,19941145,19941145,263906268,263906249,37,t,t,2015-05-29 11:23:44,2015-05-29 11:28:57
7761171,19941145,19941145,263947600,263947598,38,t,f,2015-05-29 16:26:13,2015-05-30 20:57:56
7773953,19941145,19941145,264906685,264903668,68,t,t,2015-05-30 21:13:58,2015-05-30 21:14:04
7775870,19941145,19941145,264969694,264906689,70,t,f,2015-05-31 03:35:47,2015-05-31 09:49:20
7778457,19941145,19941145,265070691,265035995,71,t,t,2015-05-31 12:13:05,2015-05-31 12:13:13
7778481,19941145,19941145,265071102,264906689,72,t,f,2015-05-31 12:16:44,2015-05-31 13:20:42
7780269,19941145,19941145,265136280,264906689,73,t,f,2015-05-31 16:06:28,2015-05-31 16:44:27
7797678,19941145,19941145,265606610,265147041,75,t,f,2015-06-01 18:57:39,2015-06-01 19:00:58
7803492,19941145,19941145,265761253,265608171,78,t,f,2015-06-02 05:06:01,2015-06-02 05:12:51
7807678,19941145,19941145,265872359,265763002,79,t,f,2015-06-02 10:56:14,2015-06-02 12:08:08
7830345,19941145,19941145,266429766,266427570,83,t,t,2015-06-03 15:09:58,2015-06-03 15:10:06
7840260,19941145,19941145,266699118,266430869,85,t,f,2015-06-04 06:31:51,2015-06-04 06:59:47
7860374,19941145,19941145,267221294,266708690,87,t,f,2015-06-05 10:19:02,2015-06-08 18:43:06
7902678,20888319,19941145,268436258,268393487,89,f,f,2015-06-08 21:29:21,2015-06-09 09:33:37
7908245,19941145,19941145,268561719,268393487,90,t,t,2015-06-09 05:30:01,2015-06-09 05:42:11
7911025,19941145,19941145,268597758,268597754,92,t,t,2015-06-09 12:23:09,2015-06-09 12:23:16
7955014,19941145,19941145,269862633,268825978,95,t,f,2015-06-11 21:04:25,2015-06-11 21:04:33
7956227,19941145,19941145,269889686,268825978,96,t,f,2015-06-11 23:18:44,2015-06-11 23:22:42
7956285,19941145,19941145,269890648,269890492,97,t,t,2015-06-11 23:23:21,2015-06-11 23:23:25
7973753,20888319,19941145,270268157,269890665,99,f,f,2015-06-12 21:33:18,2015-06-12 21:39:47
7979411,19941145,19941145,270452302,270269432,100,t,f,2015-06-13 14:40:34,2015-06-13 17:09:24
7980935,19941145,19941145,270497978,270485002,101,t,f,2015-06-13 18:04:52,2015-06-17 04:51:24
7994620,19941145,19941145,270924191,270485002,103,t,f,2015-06-15 05:22:59,2015-06-15 05:58:05
7995170,19941145,19941145,270936184,270933394,104,t,f,2015-06-15 06:07:15,2015-06-15 07:33:41
7995771,19941145,19941145,270950175,270933394,105,t,f,2015-06-15 06:55:51,2015-06-15 06:56:00
8011933,19941145,19941145,271348257,270962398,106,t,f,2015-06-16 04:28:41,2015-06-17 04:30:50
