id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
16713010,44589886,44596913,503065741,495983403,310,f,f,2016-08-31 04:28:27,2016-10-27 01:45:34
16700739,44618968,44596913,503273674,497994225,313,f,t,2016-08-31 17:50:34,2016-08-31 18:02:55
16702020,44620227,44596913,503289027,503289019,314,f,t,2016-08-31 18:40:59,2016-09-01 00:19:38
16709977,44596913,44596913,503391120,503245370,317,t,t,2016-09-01 00:20:19,2016-09-01 00:20:23
16710637,44668831,44596913,503416853,503416849,318,f,t,2016-09-01 01:04:51,2016-09-01 01:11:40
16739334,44835046,44596913,504635744,504635743,324,f,f,2016-09-01 21:47:40,2016-09-01 21:55:11
16740467,42244721,44596913,504762719,504635743,325,f,t,2016-09-01 22:36:37,2016-09-02 00:12:10
16742776,42244721,44596913,505040442,505040440,326,f,t,2016-09-02 00:44:22,2016-09-02 00:57:17
16743510,42244721,44596913,505173228,505173221,327,f,t,2016-09-02 01:29:16,2016-09-02 04:32:20
16770220,42244721,44596913,505817507,505857835,332,f,t,2016-09-02 23:10:20,2016-09-02 23:29:50
16773191,42244721,44596913,505933162,505892368,333,f,t,2016-09-03 03:39:01,2016-09-03 04:22:27
16775697,44993086,44596913,506018589,505363928,334,f,t,2016-09-03 08:54:52,2016-09-03 14:02:03
16792011,45049443,44596913,506507026,505962536,338,f,t,2016-09-04 12:38:30,2016-09-05 10:00:43
16793397,45053739,44596913,506549954,506108720,339,f,t,2016-09-04 14:38:50,2016-09-05 09:59:52
16813065,45118450,44596913,507070645,506957223,343,f,t,2016-09-05 14:06:40,2016-09-05 14:44:44
16813094,28308863,44596913,507030565,506957767,344,f,t,2016-09-05 14:08:14,2016-09-05 14:46:34
16824211,45144055,44596913,507323823,507178731,346,f,t,2016-09-06 00:00:49,2016-09-06 01:53:00
16855032,42244721,44596913,507972579,507733821,349,f,t,2016-09-06 23:48:57,2016-09-07 03:50:25
16884055,42244721,44596913,508631790,508350702,352,f,t,2016-09-07 21:41:40,2016-09-08 05:41:11
16893648,45321024,44596913,508823023,507089436,354,f,t,2016-09-08 06:12:56,2016-09-13 11:17:01
16915782,45373866,44596913,509296245,509189179,355,f,t,2016-09-08 20:57:03,2016-09-09 04:32:42
