project_id,tw quantity,pc quantity,tw with pc quantity,tw_with_pc_percentage,cr_improvement_percentage_max,cr_improvement_percentage_mean,cr_improvement_percentage_min,cr_improvement_percentage_std,ipe_improvement_percentage_max,ipe_improvement_percentage_mean,ipe_improvement_percentage_min,ipe_improvement_percentage_std,tw_equal_cr_quantity,tw_improves_cr_quantity,tw_improves_cr_percentage,tw_equal_cr_percentage,tw_equal_ipe_quantity,tw_improves_ipe_quantity,tw_worsen_ipe_quantity,tw_improves_ipe_percentage,tw_equal_ipe_percentage,tw_improves_worsen_percentage
279,36,2282,36,100,1550,528.94,100,313.8,180.65,65.32,-10.06,49.7,0,36,100,0,0,35,1,97.22222222,0,2.777777778
283,23,1377,22,95.65,1800,541.67,0,431.25,368.42,77.79,2.9,84.67,2,20,90.90909091,9.090909091,0,22,0,100,0,0
221,54,2410,44,81.48,1400,270.08,0,277.23,496.77,81.47,-3.04,102.69,6,38,86.36363636,13.63636364,0,43,1,97.72727273,0,2.272727273
656,27,2402,22,81.48,300,123.49,0,117.81,847.01,132.81,0,214.46,8,14,63.63636364,36.36363636,2,20,0,90.90909091,9.090909091,0
264,32,1721,25,78.13,1066.67,327.33,0,322.21,433.33,83.92,1.22,90.9,6,19,76,24,0,25,0,100,0,0
281,37,825,28,75.68,700,233.04,0,222.2,168.25,56.41,-0.87,44.23,5,23,82.14285714,17.85714286,0,27,1,96.42857143,0,3.571428571
956,52,610,38,73.08,500,111.84,0,139.22,1400,189.61,0,284.79,14,24,63.15789474,36.84210526,3,35,0,92.10526316,7.894736842,0
645,70,2828,50,71.43,400,115.33,0,111.11,400,65.42,-29.41,82.06,16,34,68,32,4,41,5,82,8,10
280,38,611,27,71.05,1100,250.62,0,293.97,800,126.94,2.12,162.94,6,21,77.77777778,22.22222222,0,27,0,100,0,0
255,55,555,39,70.91,900,177.78,0,197.7,1200,131.96,-17.96,225.57,7,32,82.05128205,17.94871795,0,37,2,94.87179487,0,5.128205128
1000,13,228,9,69.23,800,233.33,0,278.39,720,143,8.79,222.25,3,6,66.66666667,33.33333333,0,9,0,100,0,0
146,115,13093,75,65.22,1633.33,573.29,0,348,430.43,77.66,4.39,77.1,4,71,94.66666667,5.333333333,0,75,0,100,0,0
19,70,8343,45,64.29,1366.67,346.07,0,312.39,642.86,122.96,-20.71,142.7,9,36,80,20,1,42,2,93.33333333,2.222222222,4.444444444
224,48,617,30,62.5,1000,351.67,0,286.62,478.36,128.4,2.42,132.9,4,26,86.66666667,13.33333333,0,30,0,100,0,0
259,52,1076,32,61.54,1300,296.61,0,286.88,933.33,132.72,2.96,189.71,7,25,78.125,21.875,0,32,0,100,0,0
176,93,5210,57,61.29,1000,282.75,0,212.94,733.33,108.11,-0.06,119.05,4,53,92.98245614,7.01754386,0,56,1,98.24561404,0,1.754385965
124,36,697,22,61.11,1300,222.73,0,288.15,275,87.1,0,68.79,6,16,72.72727273,27.27272727,1,21,0,95.45454545,4.545454545,0
122,128,2911,76,59.38,500,112.61,0,93.66,700,78.41,-32.53,121.07,13,63,82.89473684,17.10526316,0,73,3,96.05263158,0,3.947368421
914,59,708,35,59.32,500,129.76,0,141.24,466.67,61.29,-34.55,96.4,11,24,68.57142857,31.42857143,5,26,4,74.28571429,14.28571429,11.42857143
218,80,335,47,58.75,700,100.71,0,144.42,933.33,127.81,0,189.04,22,25,53.19148936,46.80851064,2,45,0,95.74468085,4.255319149,0
48,174,13463,97,55.75,2000,545.07,0,412.56,2550,115.51,5.79,298.3,8,89,91.75257732,8.24742268,0,97,0,100,0,0
1013,35,504,19,54.29,1000,222.81,0,273.82,582.35,120.57,16.67,137.81,5,14,73.68421053,26.31578947,0,19,0,100,0,0
45,146,13608,75,51.37,2000,354.67,0,300.51,414.29,67.89,-4.1,69.52,7,68,90.66666667,9.333333333,1,71,3,94.66666667,1.333333333,4
132,103,1014,52,50.49,1100,200.32,0,204.14,1800,126.89,-23.81,263.86,10,42,80.76923077,19.23076923,2,45,5,86.53846154,3.846153846,9.615384615
100,106,911,52,49.06,500,118.43,0,126.13,950,87.03,-3.57,146.06,15,37,71.15384615,28.84615385,1,50,1,96.15384615,1.923076923,1.923076923
125,127,1242,62,48.82,450,101.96,0,99.94,700,78.48,-16.56,107.08,17,45,72.58064516,27.41935484,3,58,1,93.5483871,4.838709677,1.612903226
